date,ventes_total,nb_clients,est_weekend
2024-05-23,113.39,15,False
2024-05-24,113.5,21,False
2024-05-25,130.83,16,True
2024-05-26,120.46,10,True
2024-05-27,104.76,15,False
2024-05-28,113.69,8,False
2024-05-29,112.27,11,False
2024-05-30,111.75,16,False
2024-05-31,111.93,18,False
2024-06-01,121.5,15,True
2024-06-02,125.76,14,True
2024-06-03,110.76,10,False
2024-06-04,105.42,13,False
2024-06-05,118.01,17,False
2024-06-06,110.73,18,False
2024-06-07,102.09,12,False
2024-06-08,126.02,19,True
2024-06-09,117.54,17,True
2024-06-10,111.03,9,False
2024-06-11,112.56,19,False
2024-06-12,102.34,17,False
2024-06-13,110.93,11,False
2024-06-14,107.85,11,False
2024-06-15,124.56,14,True
2024-06-16,129.6,19,True
2024-06-17,103.56,12,False
2024-06-18,100.68,16,False
2024-06-19,99.67,16,False
2024-06-20,99.7,16,False
2024-06-21,103.05,18,False
2024-06-22,119.8,20,True
2024-06-23,119.14,14,True
2024-06-24,106.55,12,False
2024-06-25,102.13,17,False
2024-06-26,108.99,11,False
2024-06-27,100.06,9,False
2024-06-28,114.64,12,False
2024-06-29,118.82,11,True
2024-06-30,111.06,20,True
2024-07-01,94.65,16,False
2024-07-02,102.07,14,False
2024-07-03,98.19,15,False
2024-07-04,102.53,11,False
2024-07-05,100.99,8,False
2024-07-06,112.91,12,True
2024-07-07,108.7,12,True
2024-07-08,90.02,18,False
2024-07-09,95.01,16,False
2024-07-10,101.19,18,False
2024-07-11,97.64,16,False
2024-07-12,90.0,15,False
2024-07-13,111.75,13,True
2024-07-14,112.48,9,True
2024-07-15,90.79,18,False
2024-07-16,95.65,17,False
2024-07-17,94.84,12,False
2024-07-18,88.5,12,False
2024-07-19,95.67,13,False
2024-07-20,111.36,22,True
2024-07-21,113.65,24,True
2024-07-22,98.18,11,False
2024-07-23,85.7,20,False
2024-07-24,87.58,19,False
2024-07-25,94.52,17,False
2024-07-26,94.2,12,False
2024-07-27,108.9,23,True
2024-07-28,125.28,11,True
2024-07-29,93.56,21,False
2024-07-30,96.08,17,False
2024-07-31,94.87,23,False
2024-08-01,93.06,13,False
2024-08-02,87.93,12,False
2024-08-03,108.01,13,True
2024-08-04,100.06,8,True
2024-08-05,87.45,15,False
2024-08-06,85.93,13,False
2024-08-07,88.49,20,False
2024-08-08,99.38,12,False
2024-08-09,78.19,20,False
2024-08-10,105.69,20,True
2024-08-11,93.93,18,True
2024-08-12,84.38,15,False
2024-08-13,91.93,18,False
2024-08-14,86.55,14,False
2024-08-15,80.59,12,False
2024-08-16,82.16,13,False
2024-08-17,103.89,12,True
2024-08-18,96.61,6,True
2024-08-19,86.11,14,False
2024-08-20,85.03,19,False
2024-08-21,81.32,14,False
2024-08-22,95.08,23,False
2024-08-23,87.32,16,False
2024-08-24,88.82,23,True
2024-08-25,99.67,16,True
2024-08-26,80.23,12,False
2024-08-27,87.61,11,False
2024-08-28,79.2,18,False
2024-08-29,82.4,14,False
2024-08-30,85.32,17,False
2024-08-31,101.95,19,True
2024-09-01,91.45,11,True
2024-09-02,80.62,16,False
2024-09-03,79.76,9,False
2024-09-04,78.71,12,False
2024-09-05,90.66,17,False
2024-09-06,83.72,9,False
2024-09-07,90.25,13,True
2024-09-08,101.01,18,True
2024-09-09,91.91,8,False
2024-09-10,86.34,17,False
2024-09-11,73.47,20,False
2024-09-12,78.54,15,False
2024-09-13,87.19,19,False
2024-09-14,92.22,17,True
2024-09-15,97.89,12,True
2024-09-16,84.45,19,False
2024-09-17,75.87,17,False
2024-09-18,80.13,17,False
2024-09-19,64.15,16,False
2024-09-20,75.18,20,False
2024-09-21,93.98,19,True
2024-09-22,88.95,13,True
2024-09-23,88.31,19,False
2024-09-24,72.96,16,False
2024-09-25,77.87,17,False
2024-09-26,80.7,18,False
2024-09-27,87.23,18,False
2024-09-28,87.83,25,True
2024-09-29,100.82,17,True
2024-09-30,80.05,13,False
2024-10-01,75.1,8,False
2024-10-02,82.32,13,False
2024-10-03,81.02,18,False
2024-10-04,77.05,18,False
2024-10-05,95.42,15,True
2024-10-06,93.18,17,True
2024-10-07,80.71,14,False
2024-10-08,83.5,17,False
2024-10-09,88.17,17,False
2024-10-10,74.11,24,False
2024-10-11,91.02,14,False
2024-10-12,85.67,14,True
2024-10-13,94.74,14,True
2024-10-14,83.52,21,False
2024-10-15,82.07,11,False
2024-10-16,77.64,17,False
2024-10-17,79.81,20,False
2024-10-18,78.49,26,False
2024-10-19,93.12,18,True
2024-10-20,100.43,10,True
2024-10-21,83.08,22,False
2024-10-22,77.96,19,False
2024-10-23,86.05,9,False
2024-10-24,83.23,17,False
2024-10-25,85.9,11,False
2024-10-26,100.13,12,True
2024-10-27,92.99,13,True
2024-10-28,79.49,14,False
2024-10-29,86.19,16,False
2024-10-30,85.67,18,False
2024-10-31,82.69,15,False
2024-11-01,83.56,10,False
2024-11-02,104.55,16,True
2024-11-03,95.39,16,True
2024-11-04,86.28,13,False
2024-11-05,82.73,9,False
2024-11-06,82.85,4,False
2024-11-07,89.64,14,False
2024-11-08,88.49,16,False
2024-11-09,103.65,19,True
2024-11-10,106.33,11,True
2024-11-11,85.13,17,False
2024-11-12,88.67,7,False
2024-11-13,83.95,17,False
2024-11-14,87.36,13,False
2024-11-15,85.33,15,False
2024-11-16,101.71,14,True
2024-11-17,104.46,15,True
2024-11-18,82.65,8,False
2024-11-19,97.46,12,False
2024-11-20,82.23,20,False
2024-11-21,81.46,11,False
2024-11-22,93.59,17,False
2024-11-23,107.04,16,True
2024-11-24,106.48,11,True
2024-11-25,91.78,8,False
2024-11-26,88.86,12,False
2024-11-27,84.73,20,False
2024-11-28,89.88,18,False
2024-11-29,86.42,13,False
2024-11-30,109.98,20,True
2024-12-01,104.67,14,True
2024-12-02,86.58,15,False
2024-12-03,89.41,21,False
2024-12-04,93.39,12,False
2024-12-05,88.82,21,False
2024-12-06,87.84,16,False
2024-12-07,108.49,18,True
2024-12-08,108.81,11,True
2024-12-09,90.37,27,False
2024-12-10,90.88,20,False
2024-12-11,94.72,12,False
2024-12-12,86.64,14,False
2024-12-13,87.18,13,False
2024-12-14,105.95,10,True
2024-12-15,108.81,26,True
2024-12-16,96.77,17,False
2024-12-17,102.93,18,False
2024-12-18,100.18,26,False
2024-12-19,95.43,12,False
2024-12-20,96.47,11,False
2024-12-21,106.89,13,True
2024-12-22,112.15,14,True
2024-12-23,96.15,16,False
2024-12-24,99.55,11,False
2024-12-25,94.14,17,False
2024-12-26,101.22,16,False
2024-12-27,106.63,11,False
2024-12-28,113.77,12,True
2024-12-29,116.66,5,True
2024-12-30,103.45,14,False
